source_id,sku,source_loc,trip,board_num,dest_location
LOTTE-20260622-Air_con622_1-001,BK9275,C05A0194-0,Air-con6/22-1,001,
LOTTE-20260622-Air_con622_1-002,BK9275,C05A0214-0,Air-con6/22-1,002,
LOTTE-20260622-Air_con622_1-003,BK9275,C05A0234-0,Air-con6/22-1,003,
LOTTE-20260622-Air_con622_1-004,BK9275,C05A0254-0,Air-con6/22-1,004,
LOTTE-20260622-Air_con622_1-005,BK9275,C05A0274-0,Air-con6/22-1,005,
LOTTE-20260622-Air_con622_1-006,BK9275,C05A0294-0,Air-con6/22-1,006,
LOTTE-20260622-Air_con622_1-007,BK9275,C05A0295-0,Air-con6/22-1,007,
LOTTE-20260622-Air_con622_1-008,BK9275,C05A0314-0,Air-con6/22-1,008,
LOTTE-20260622-Air_con622_1-009,BK9275,C05A0315-0,Air-con6/22-1,009,
LOTTE-20260622-Air_con622_1-010,BK9276,C05A0334-0,Air-con6/22-1,010,
LOTTE-20260622-Air_con622_1-011,BK9276,C05A0335-0,Air-con6/22-1,011,
LOTTE-20260622-Air_con622_2-012,BK9276,C05A0353-0,Air-con6/22-2,012,
LOTTE-20260622-Air_con622_3-013,BK9276,C05A0354-0,Air-con6/22-3,013,
LOTTE-20260622-Air_con622_2-014,BK9275,C05A0512-0,Air-con6/22-2,014,
LOTTE-20260622-Air_con622_2-015,BK9275,C05A0513-0,Air-con6/22-2,015,
LOTTE-20260622-Air_con622_2-016,BK9275,C05A0533-0,Air-con6/22-2,016,
LOTTE-20260622-Air_con622_2-017,BK9275,C05A0553-0,Air-con6/22-2,017,
LOTTE-20260622-Air_con622_2-018,BK9275,C05A0573-0,Air-con6/22-2,018,
LOTTE-20260622-Air_con622_2-019,BK9275,C05A0594-0,Air-con6/22-2,019,
LOTTE-20260622-Air_con622_2-020,BK9275,C05A0615-0,Air-con6/22-2,020,
LOTTE-20260622-Air_con622_2-021,BK9275,C05A0734-0,Air-con6/22-2,021,
LOTTE-20260622-Air_con622_3-022,BK9276,C05A0753-0,Air-con6/22-3,022,
LOTTE-20260622-Air_con622_3-023,BK9276,C05A0754-0,Air-con6/22-3,023,
LOTTE-20260622-Air_con622_3-024,BK9276,C05A0774-0,Air-con6/22-3,024,
LOTTE-20260622-Air_con622_3-025,BK9276,C05A0792-0,Air-con6/22-3,025,
LOTTE-20260622-Air_con622_3-026,BK9276,C05A0793-0,Air-con6/22-3,026,
LOTTE-20260622-Air_con622_3-027,BK9276,C05A0795-0,Air-con6/22-3,027,
LOTTE-20260622-Air_con622_3-028,BK9276,C05A0833-0,Air-con6/22-3,028,
LOTTE-20260622-Air_con622_1-029,BK9275,C05B0025-0,Air-con6/22-1,029,
LOTTE-20260622-Air_con622_1-030,BK9275,C05B0065-0,Air-con6/22-1,030,
LOTTE-20260622-Air_con622_1-031,BK9275,C05B0085-0,Air-con6/22-1,031,
LOTTE-20260622-Air_con622_1-032,BK9275,C05B0104-0,Air-con6/22-1,032,
LOTTE-20260622-Air_con622_1-033,BK9275,C05B0124-0,Air-con6/22-1,033,
LOTTE-20260622-Air_con622_1-034,BK9275,C05B0145-0,Air-con6/22-1,034,
LOTTE-20260622-Air_con622_1-035,BK9275,C05B0164-0,Air-con6/22-1,035,
LOTTE-20260622-Air_con622_2-036,BK9275,C05B0302-0,Air-con6/22-2,036,
LOTTE-20260622-Air_con622_2-037,BK9275,C05B0342-0,Air-con6/22-2,037,
LOTTE-20260622-Air_con622_2-038,BK9275,C05B0522-0,Air-con6/22-2,038,
LOTTE-20260622-Air_con622_2-039,BK9275,C05B0523-0,Air-con6/22-2,039,
LOTTE-20260622-Air_con622_2-040,BK9275,C05B0543-0,Air-con6/22-2,040,
LOTTE-20260622-Air_con622_2-041,BK9275,C05B0662-0,Air-con6/22-2,041,
LOTTE-20260622-Air_con622_2-042,BK9275,C05B0704-0,Air-con6/22-2,042,
LOTTE-20260622-Air_con622_2-043,BK9275,C05B0705-0,Air-con6/22-2,043,
LOTTE-20260622-Air_con622_2-044,BK9275,C05B0723-0,Air-con6/22-2,044,
LOTTE-20260622-Air_con622_3-045,BK9276,C05B0764-0,Air-con6/22-3,045,
LOTTE-20260622-Air_con622_3-046,BK9276,C05B0765-0,Air-con6/22-3,046,
LOTTE-20260622-Air_con622_3-047,BK9276,C05B0782-0,Air-con6/22-3,047,
LOTTE-20260622-Air_con622_3-048,BK9276,C05B0785-0,Air-con6/22-3,048,
LOTTE-20260622-Air_con622_3-049,BK9276,C05B0802-0,Air-con6/22-3,049,
LOTTE-20260622-Air_con622_3-050,BK9276,C05B0803-0,Air-con6/22-3,050,
LOTTE-20260622-Air_con622_3-051,BK9276,C05B0842-0,Air-con6/22-3,051,
LOTTE-20260622-Air_con622_3-052,BK9276,C05B0862-0,Air-con6/22-3,052,
LOTTE-20260622-Air_con622_3-053,BK9276,C05B0863-0,Air-con6/22-3,053,
LOTTE-20260622-Air_con622_3-054,BK9276,C05B0882-0,Air-con6/22-3,054,
LOTTE-20260622-622_2-055,BV0006,A19A1212-0,6/22-2,055,
LOTTE-20260622-622_2-056,BV0006,A19A1232-0,6/22-2,056,
LOTTE-20260622-622_1-057,BT0068,A19A1251-0,6/22-1,057,
LOTTE-20260622-622_2-058,BV0006,A19A1252-0,6/22-2,058,
LOTTE-20260622-622_2-059,BV0006,A19A1252-0,6/22-2,059,
LOTTE-20260622-622_2-060,BV0006,A19A1272-0,6/22-2,060,
LOTTE-20260622-622_2-061,BV0006,A19A1291-0,6/22-2,061,
LOTTE-20260622-622_1-062,BT0068,A19A1292-0,6/22-1,062,
LOTTE-20260622-622_1-063,BT0068,A19A1312-0,6/22-1,063,
LOTTE-20260622-622_2-064,BV0006,A19A1352-0,6/22-2,064,
LOTTE-20260622-622_1-065,BT0065,A19A1473-0,6/22-1,065,
LOTTE-20260622-622_1-066,BT0065,A19A1474-0,6/22-1,066,
LOTTE-20260622-622_1-067,BT0065,A19A1492-0,6/22-1,067,
LOTTE-20260622-622_1-068,BT0065,A19A1493-0,6/22-1,068,
LOTTE-20260622-622_1-069,BT0065,A19A1494-0,6/22-1,069,
LOTTE-20260622-622_2-070,BV0006,A19A1511-0,6/22-2,070,
LOTTE-20260622-622_1-071,BT0065,A19A1514-0,6/22-1,071,
LOTTE-20260622-622_1-072,BT0065,A19A1534-0,6/22-1,072,
LOTTE-20260622-622_1-073,BT0065,A19A1554-0,6/22-1,073,
LOTTE-20260622-622_2-074,BV0006,A19A1571-0,6/22-2,074,
LOTTE-20260622-622_1-075,BT0065,A19A1573-0,6/22-1,075,
LOTTE-20260622-622_1-076,BT0065,A19A1574-0,6/22-1,076,
LOTTE-20260622-622_2-077,BV0006,A19A1591-0,6/22-2,077,
LOTTE-20260622-622_1-078,BT0065,A19A1593-0,6/22-1,078,
LOTTE-20260622-622_1-079,BT0065,A19A1613-0,6/22-1,079,
LOTTE-20260622-622_1-080,BT0065,A19A1614-0,6/22-1,080,
LOTTE-20260622-622_1-081,BT0065,A19B1584-0,6/22-1,081,
LOTTE-20260622-622_1-082,BT0065,A19B1605-0,6/22-1,082,
LOTTE-20260622-622_1-083,BT0065,A19B1623-0,6/22-1,083,
LOTTE-20260622-622_1-084,BT0065,B03A0272-0,6/22-1,084,
LOTTE-20260622-622_2-085,BV0005,B03A0332-0,6/22-2,085,
LOTTE-20260622-622_1-086,BT0065,B03A0352-0,6/22-1,086,
LOTTE-20260622-622_2-087,BV0005,B03A0372-0,6/22-2,087,
LOTTE-20260622-622_1-088,BT0065,B03A0375-0,6/22-1,088,
LOTTE-20260622-622_1-089,BT0065,B03A0392-0,6/22-1,089,
LOTTE-20260622-622_2-090,BV0005,B03A0413-0,6/22-2,090,
LOTTE-20260622-622_1-091,BT0066,B03A0512-0,6/22-1,091,
LOTTE-20260622-622_1-092,BT0066,B03A0554-0,6/22-1,092,
LOTTE-20260622-622_3-093,BV0007,B03A0695-0,6/22-3,093,
LOTTE-20260622-622_3-094,BV0007,B03A0712-0,6/22-3,094,
LOTTE-20260622-622_3-095,BV0007,B03A0713-0,6/22-3,095,
LOTTE-20260622-622_3-096,BV0007,B03A0715-0,6/22-3,096,
LOTTE-20260622-622_3-097,BV0007,B03A0732-0,6/22-3,097,
LOTTE-20260622-622_3-098,BV0007,B03A0733-0,6/22-3,098,
LOTTE-20260622-622_3-099,BV0007,B03A0735-0,6/22-3,099,
LOTTE-20260622-622_3-100,BV0007,B03A0752-0,6/22-3,100,
LOTTE-20260622-622_3-101,BV0007,B03A0772-0,6/22-3,101,
LOTTE-20260622-622_3-102,BV0007,B03A0773-0,6/22-3,102,
LOTTE-20260622-622_3-103,BV0007,B03A0774-0,6/22-3,103,
LOTTE-20260622-622_1-104,BT0065,B03A0854-0,6/22-1,104,
LOTTE-20260622-622_3-105,BV0007,B03A0875-0,6/22-3,105,
LOTTE-20260622-622_1-106,BT0065,B03A0892-0,6/22-1,106,
LOTTE-20260622-622_3-107,BV0007,B03B0382-0,6/22-3,107,
LOTTE-20260622-622_2-108,BV0005,B03B0402-0,6/22-2,108,
LOTTE-20260622-622_1-109,BT0065,B03B0403-0,6/22-1,109,
LOTTE-20260622-622_1-110,BT0065,B03B0405-0,6/22-1,110,
LOTTE-20260622-622_3-111,BV0007,B03B0422-0,6/22-3,111,
LOTTE-20260622-622_1-112,BT0066,B03B0522-0,6/22-1,112,
LOTTE-20260622-622_3-113,BV0007,B03B0542-0,6/22-3,113,
LOTTE-20260622-622_1-114,BT0066,B03B0543-0,6/22-1,114,
LOTTE-20260622-622_1-115,BT0066,B03B0544-0,6/22-1,115,
LOTTE-20260622-622_3-116,BV0007,B03B0602-0,6/22-3,116,
LOTTE-20260622-622_1-117,BT0065,B03B0644-0,6/22-1,117,
LOTTE-20260622-622_2-118,BV0005,C07A0034-0,6/22-2,118,
LOTTE-20260622-622_3-119,BV0007,C11B0184-0,6/22-3,119,
LOTTE-20260622-622_2-120,BV0005,T06A0055-0,6/22-2,120,
LOTTE-20260622-622_2-121,BV0005,T06A0075-0,6/22-2,121,
LOTTE-20260622-622_3-122,BV0007,T06A0452-0,6/22-3,122,
LOTTE-20260622-622_2-123,BV0008,T06B0383-0,6/22-2,123,
LOTTE-20260622-622_2-124,BV0008,T06B0444-0,6/22-2,124,
LOTTE-20260622-622_2-125,BV0008,T06B0445-0,6/22-2,125,
LOTTE-20260622-622_2-126,BV0008,T06B0464-0,6/22-2,126,
LOTTE-20260622-622_2-127,BV0008,T06B0522-0,6/22-2,127,
LOTTE-20260622-622_2-128,BV0008,T06B0525-0,6/22-2,128,
LOTTE-20260622-622_2-129,BV0008,T06B0545-0,6/22-2,129,
LOTTE-20260622-622_2-130,BV0006,T06B0564-0,6/22-2,130,
LOTTE-20260622-622_2-131,BV0006,T06B0565-0,6/22-2,131,
LOTTE-20260622-622_2-132,BV0006,T06B0585-0,6/22-2,132,
LOTTE-20260622-622_2-133,BV0006,T06B0602-0,6/22-2,133,
LOTTE-20260622-622_2-134,BV0006,T06B0603-0,6/22-2,134,
LOTTE-20260622-622_2-135,BV0006,T06B0605-0,6/22-2,135,
LOTTE-20260622-622_3-136,BV0011,T07A0014-0,6/22-3,136,
LOTTE-20260622-622_3-137,BV0007,T07A0034-0,6/22-3,137,
LOTTE-20260622-622_3-138,BV0011,T07A0054-0,6/22-3,138,
LOTTE-20260622-622_3-139,BV0011,T07A0174-0,6/22-3,139,
LOTTE-20260622-622_3-140,BV0011,T07A0254-0,6/22-3,140,
LOTTE-20260622-622_3-141,BV0011,T07A0274-0,6/22-3,141,
LOTTE-20260622-622_3-142,BV0011,T07A0312-0,6/22-3,142,
LOTTE-20260622-622_3-143,BV0011,T07A0332-0,6/22-3,143,
LOTTE-20260622-622_3-144,BV0011,T07A0334-0,6/22-3,144,
LOTTE-20260622-622_3-145,BV0011,T07A0354-0,6/22-3,145,
LOTTE-20260622-622_3-146,BV0011,T07A0392-0,6/22-3,146,
LOTTE-20260622-622_3-147,BV0011,T07A0455-0,6/22-3,147,
LOTTE-20260622-622_2-148,BV0005,T07B0345-0,6/22-2,148,
LOTTE-20260622-622_3-149,BV0007,T07B0363-0,6/22-3,149,
LOTTE-20260622-622_3-150,BV0011,T07B0365-0,6/22-3,150,
LOTTE-20260622-622_2-151,BV0006,T09A0374-0,6/22-2,151,
LOTTE-20260622-622_2-152,BV0006,T09A0374-0,6/22-2,152,
LOTTE-20260622-622_2-153,BV0006,T10B0246-0,6/22-2,153,
LOTTE-20260622-622_2-154,BV0006,T10B0306-0,6/22-2,154,
LOTTE-20260622-622_4-155,DK9051,A19A1172-0,6/22-4,155,
LOTTE-20260622-622_4-156,DK9051,A19A1192-0,6/22-4,156,
LOTTE-20260622-622_4-157,DK9051,A19A1271-0,6/22-4,157,
LOTTE-20260622-622_4-158,DK9051,A19A1331-0,6/22-4,158,
LOTTE-20260622-622_4-159,DK9051,A19A1351-0,6/22-4,159,
LOTTE-20260622-622_4-160,DK9051,A19A1353-0,6/22-4,160,
LOTTE-20260622-622_4-161,DK9051,A19A1373-0,6/22-4,161,
LOTTE-20260622-622_4-162,DK9051,A19A1392-0,6/22-4,162,
LOTTE-20260622-622_4-163,DK9051,A19A1393-0,6/22-4,163,
LOTTE-20260622-622_4-164,DK9051,A19A1412-0,6/22-4,164,
LOTTE-20260622-622_4-165,DK9051,A19A1413-0,6/22-4,165,
LOTTE-20260622-622_4-166,DK9051,A19A1452-0,6/22-4,166,
LOTTE-20260622-622_4-167,DK9051,A19A1453-0,6/22-4,167,
LOTTE-20260622-622_4-168,DK9051,A19A1513-0,6/22-4,168,
LOTTE-20260622-622_4-169,DK9051,A19B1362-0,6/22-4,169,
LOTTE-20260622-622_4-170,DK9051,A19B1382-0,6/22-4,170,
LOTTE-20260622-622_4-171,DK9051,A19B1402-0,6/22-4,171,
LOTTE-20260622-622_4-172,DK9012,C07A0113-0,6/22-4,172,
LOTTE-20260622-622_4-173,DK9012,C07A0173-0,6/22-4,173,
LOTTE-20260622-622_4-174,DK9012,C11B0047-0,6/22-4,174,
LOTTE-20260622-622_4-175,DK9012,C11B0127-0,6/22-4,175,
LOTTE-20260622-622_4-176,DK9012,C11B0167-0,6/22-4,176,
LOTTE-20260622-622_4-177,DK9075,T06A0053-0,6/22-4,177,
LOTTE-20260622-622_4-178,DK9051,T11A0155-0,6/22-4,178,
LOTTE-20260622-622_4-179,DK9051,T11A0175-0,6/22-4,179,
LOTTE-20260622-622_4-180,DK9051,T11A0193-0,6/22-4,180,
LOTTE-20260622-622_4-181,DK9051,T11A0194-0,6/22-4,181,
LOTTE-20260622-622_4-182,DK9051,T11A0274-0,6/22-4,182,
LOTTE-20260622-622_4-183,DK9051,T12A0374-0,6/22-4,183,
LOTTE-20260622-622_4-184,DK9051,T12A0431-0,6/22-4,184,
LOTTE-20260622-622_4-185,DK9051,T12B0044-0,6/22-4,185,
LOTTE-20260622-622_4-186,DK9051,T12B0423-0,6/22-4,186,
LOTTE-20260622-622_4-187,DK9051,T12B0484-0,6/22-4,187,
